title,publication,Book Series Title,Journal Volume,Journal Issue,doi,author,year,url,Content Type
Cyber Threat Intelligence – What Does It Even Mean?,Cyber Threat Intelligence,,,,10.1007/978-1-4842-7220-6_2,Aaron Roberts,2021,https://link.springer.com/chapter/10.1007/978-1-4842-7220-6_2,Chapter
Estimating vulnerability metrics with word embedding and multiclass classification methods,International Journal of Information Security,,,,10.1007/s10207-023-00734-7,Hakan KekülBurhan ErgenHalil Arslan,2023,https://link.springer.com/article/10.1007/s10207-023-00734-7,Article
"
   Report
  ",Datenschutz und Datensicherheit - DuD,,,,10.1007/s11623-020-1390-1,,2021,https://link.springer.com/article/10.1007/s11623-020-1390-1,Article
"
   Report
  ",Datenschutz und Datensicherheit - DuD,,,,10.1007/s11623-021-1477-3,,2021,https://link.springer.com/article/10.1007/s11623-021-1477-3,Article
"
Report
",Datenschutz und Datensicherheit - DuD,,,,10.1007/s11623-020-1295-z,,2020,https://link.springer.com/article/10.1007/s11623-020-1295-z,Article
Interdisciplinary Cybersecurity: Rethinking the Approach and the Process,National Cyber Summit (NCS) Research Track,,,,10.1007/978-3-030-31239-8_6,Johanna JacobMichelle PetersT. Andrew Yang,2020,https://link.springer.com/chapter/10.1007/978-3-030-31239-8_6,Conference paper
The Psychology of Internet Fraud Victimisation: a Systematic Review,Journal of Police and Criminal Psychology,,,,10.1007/s11896-019-09334-5,Gareth NorrisAlexandra BrookesDavid Dowell,2019,https://link.springer.com/article/10.1007/s11896-019-09334-5,Article
Where the User Does Look When Reading Phishing Mails – An Eye-Tracking Study,Learning and Collaboration Technologies. Designing Learning Experiences,,,,10.1007/978-3-030-21814-0_21,Kevin PfeffelPhilipp UlsamerNicholas H. Müller,2019,https://link.springer.com/chapter/10.1007/978-3-030-21814-0_21,Conference paper
An Analysis of Malware Trends in Enterprise Networks,Information Security,,,,10.1007/978-3-030-30215-3_18,Abbas AcarLong LuA. Selcuk UluagacEngin Kirda,2019,https://link.springer.com/chapter/10.1007/978-3-030-30215-3_18,Conference paper
Biometrie 2.0 – Sicherheit durch kontinuierliche Authentifizierung,Digitale Welt,,,,10.1007/s42354-019-0175-x,Sebastian MayerWerner ThalmeierKarl-Otto FegerFrank ReiländerDirk Rosenau,2019,https://link.springer.com/article/10.1007/s42354-019-0175-x,Article
Towards the Creation of a Threat Intelligence Framework for Maritime Infrastructures,Computer Security,,,,10.1007/978-3-030-42048-2_4,Nikolaos PitropakisMarios LogothetisGennady AndrienkoJason StefanatosEirini KarapistoliCostas Lambrinoudakis,2020,https://link.springer.com/chapter/10.1007/978-3-030-42048-2_4,Conference paper
Leaving on a jet plane: the trade in fraudulently obtained airline tickets,"Crime, Law and Social Change",,,,10.1007/s10611-018-9777-8,Alice Hutchings,2018,https://link.springer.com/article/10.1007/s10611-018-9777-8,Article
X-Platform Phishing: Abusing Trust for&#xa0;Targeted Attacks Short Paper,Financial Cryptography and Data Security,,,,10.1007/978-3-319-70278-0_37,Hossein SiadatiToan NguyenNasir Memon,2017,https://link.springer.com/chapter/10.1007/978-3-319-70278-0_37,Conference paper
Understanding Social Engineering Based Scams,,,,,10.1007/978-1-4939-6457-4,Markus Jakobsson,2016,https://link.springer.com/book/10.1007/978-1-4939-6457-4,Book
A novel approach to protect against phishing attacks at client side using auto-updated white-list,EURASIP Journal on Information Security,,,,10.1186/s13635-016-0034-3,Ankit Kumar JainB. B. Gupta,2016,https://link.springer.com/article/10.1186/s13635-016-0034-3,Article
Fighting against phishing attacks: state of the art and future challenges,Neural Computing and Applications,,,,10.1007/s00521-016-2275-y,B. B. GuptaAakanksha TewariAnkit Kumar JainDharma P. Agrawal,2016,https://link.springer.com/article/10.1007/s00521-016-2275-y,Article
Mobile Money in the Australasian Region - A Technical Security Perspective,Applications and Techniques in Information Security,,,,10.1007/978-981-10-2741-3_13,Swathi ParasaLynn Margaret Batten,2016,https://link.springer.com/chapter/10.1007/978-981-10-2741-3_13,Conference paper
"History, development, and principles of large language models: an introductory survey",AI and Ethics,,,,10.1007/s43681-024-00583-7,Zichong WangZhibo ChuThang Viet DoanShiwen NiMin YangWenbin Zhang,2024,https://link.springer.com/article/10.1007/s43681-024-00583-7,Article
Industry 5.0 or industry 4.0S? Introduction to industry 4.0 and a peek into the prospective industry 5.0 technologies,International Journal on Interactive Design and Manufacturing (IJIDeM),,,,10.1007/s12008-023-01217-8,Abirami Raja SanthiPadmakumar Muthuswamy,2023,https://link.springer.com/article/10.1007/s12008-023-01217-8,Article
Malware Architectural View with Performance Analysis in Network at Its Activation State,Cognitive Informatics and Soft Computing,,,,10.1007/978-981-13-0617-4_20,Sisira Kumar KapatSatya Narayan Tripathy,2019,https://link.springer.com/chapter/10.1007/978-981-13-0617-4_20,Conference paper
Tree parity machine guided patients’ privileged based secure sharing of electronic medical record: cybersecurity for telehealth during COVID-19,Multimedia Tools and Applications,,,,10.1007/s11042-021-10705-6,Arindam SarkarMoumita Sarkar,2021,https://link.springer.com/article/10.1007/s11042-021-10705-6,Article
